airport_key,airport,airport_icao,latitude_x,longitude_x,timezone,city,country,continent,country_code,geoname_id,name,asciiname,alternatenames,admin1_code,admin2_code,latitude_y,longitude_y,haversine,state,county
1,Anaa,NTGA,-17.05,-145.41666999999998,Pacific/Tahiti,Anaa,French Polynesia,Oceania,PF,6947726,Anaa Airport,Anaa Airport,"AAA,Anaa,NTGA,Анаа",,,-17.349079999999997,-145.51228999999998,34.77270139718703,,
2,Ahe Airport,NTHE,-14.428056,-146.25694,Pacific/Tahiti,Ahe,French Polynesia,Oceania,PF,7668372,Ahe Airport,Ahe Airport,"AHE,Aerodrome d'Ahe,Ahe Airport,Aérodrôme d'Ahe,NTHE",03,10295319,-14.4281,-146.257,0.008104665585763948,Îles Tuamotu-Gambier,Manihi
3,Apataki,NTGD,-15.416667000000002,-146.08333000000002,Pacific/Tahiti,Apataki,French Polynesia,Oceania,PF,7730695,Apataki Airport,Apataki Airport,"APK,Aeroport d'Apataki,Apataki Airport,Aéroport d'Apataki,NTGD",03,10295216,-15.5736,-146.41499,39.59159401560637,Îles Tuamotu-Gambier,Arutua
4,Atuona,NTMN,-9.769324000000001,-139.00978,Pacific/Marquesas,Atuona,French Polynesia,Oceania,PF,4020109,Atuona,Atuona,"AUQ,Atouana,Atuana,Atuona",04,10295183,-9.80342,-139.04202,5.182125489932934,Îles Marquises,Hiva-Oa
5,Arutua,NTGU,-15.25,-146.75,Pacific/Tahiti,Arutua,French Polynesia,Oceania,PF,7730127,Arutua Airport,Arutua Airport,"AXR,Aeroport d'Arutua,Arutua Airport,Aéroport d'Arutua,NTGU",03,,-15.235920000000002,-146.6531,10.512974437267815,Îles Tuamotu-Gambier,
6,Motu Mute,NTTB,-16.446207,-151.75447,Pacific/Tahiti,Bora Bora,French Polynesia,Oceania,PF,6299965,Bora-Bora Airport,Bora-Bora Airport,"Aeroport de Bora-Bora,Aéroport de Bora-Bora,BOB,Bora Bora Airport,Motu Mute Airport,NTTB,bo la bo la dao ji chang,bolabola gonghang,borabora kong gang,ボラボラ空港,博拉博拉島機場,보라보라 공항",02,,-16.44438,-151.75128999999998,0.39532730261637866,Leeward Islands,
7,Faaite,NTKF,-16.683332,-145.33333000000002,Pacific/Tahiti,Faaite,French Polynesia,Oceania,PF,7730703,Faaite Airport,Faaite Airport,"Aeroport de Faaite,Aeropuerto de Faaite,Aéroport de Faaite,FAC,Faaite Airport,NTKF",03,,-16.6867,-145.32899,0.5949338404235047,Îles Tuamotu-Gambier,
8,Fakarava,NTGF,-16.053486,-145.65225,Pacific/Tahiti,Fakarava,French Polynesia,Oceania,PF,7730122,Fakarava Airport,Fakarava Airport,"Aeroport de Fakarava,Aéroport de Fakarava,FAV,Fakarava Airport,NTGF",03,10295217,-16.0541,-145.657,0.5121501797118908,Îles Tuamotu-Gambier,Fakarava
9,Fangatau,NTGB,-16.05,-141.83333000000002,Pacific/Tahiti,Fangatau,French Polynesia,Oceania,PF,7730120,Fangatau Airport,Fangatau Airport,"Aerodrome de Fangatau,Aérodrôme de Fangatau,FGU,Fangatau Airport,NTGB",03,,-15.8199,-140.88699,104.36944888217054,Îles Tuamotu-Gambier,
10,Fakahina,NTKH,-15.99095,-140.16446000000002,Pacific/Tahiti,Fakahina,French Polynesia,Oceania,PF,7730704,Fakahina Airport,Fakahina Airport,"FHZ,NTKH",,,-15.9922,-140.16499,0.15009607011130932,,
11,Gambier Island,NTGJ,-23.084,-134.88756999999998,Pacific/Gambier,Gambier Island,French Polynesia,Oceania,PF,7668371,Totegegie Airport,Totegegie Airport,"Aeroport de Totegegie,Aéroport de Totegegie,GMR,NTGJ,Totegegie Airport",03,10295219,-23.0799,-134.89,0.5192620991105467,Îles Tuamotu-Gambier,Gambier
12,Hikueru,NTGH,-17.533333,-142.53333999999998,Pacific/Tahiti,Hikueru,French Polynesia,Oceania,PF,7730696,Hikueru Atoll Airport,Hikueru Atoll Airport,"HHZ,Hikueru Atoll Airport,NTGH",03,,-17.54797,-142.6128,8.580510130988408,Îles Tuamotu-Gambier,
13,Hao Island,NTTO,-18.062479999999997,-140.96528999999998,Pacific/Tahiti,Hao Island,French Polynesia,Oceania,PF,6299967,Hao Airport,Hao Airport,"Aeroport d'Hao,Aéroport d'Hao,HOI,Hao Airport,NTTO",03,,-18.07481,-140.94589,2.466887955794038,Îles Tuamotu-Gambier,
14,Huahine,NTTH,-16.689682,-151.02826000000002,Pacific/Tahiti,Huahine,French Polynesia,Oceania,PF,7730131,Huahine – Fare Airport,Huahine - Fare Airport,"Aeroport de Huahine – Fare,Aeropuerto de Huahine – Fare,Aéroport de Huahine – Fare,HUH,Huahine – Fare Airport,NTTH",02,,-16.6872,-151.02200000000002,0.7216236599354463,Leeward Islands,
15,Kauehi,NTKA,-15.766667000000002,-145.11667,Pacific/Tahiti,Kauehi,French Polynesia,Oceania,PF,7730702,Kauehi Airport,Kauehi Airport,"KHZ,NTKA",,,-15.7808,-145.12399,1.75591269221218,,
16,Kaukura Atoll,NTGK,-15.783332999999999,-146.66666999999998,Pacific/Tahiti,Kaukura Atoll,French Polynesia,Oceania,PF,7730123,Kaukura Airport,Kaukura Airport,"Aeroport de Kaukura,Aéroport de Kaukura,KKR,Kaukura Airport,NTGK",03,10295216,-15.66461,-146.8854,26.877079939421954,Îles Tuamotu-Gambier,Arutua
17,Maupiti,NTTP,-16.427385,-152.24236000000002,Pacific/Tahiti,Maupiti,French Polynesia,Oceania,PF,7730132,Maupiti Airport,Maupiti Airport,"Aeroport de Maupiti,Aeropuerto de Maupiti,Aéroport de Maupiti,Flughafen Maupiti,MAU,Maupiti Airport,NTTP",02,10295379,-16.4265,-152.244,0.2006981360979463,Leeward Islands,Maupiti
18,Makemo,NTGM,-16.587920999999998,-143.65436,Pacific/Tahiti,Makemo,French Polynesia,Oceania,PF,7730124,Makemo Airport,Makemo Airport,"Aeroport de Makemo,Aéroport de Makemo,MKP,Makemo Airport,NTGM",03,,-16.5839,-143.658,0.5919341464752115,Îles Tuamotu-Gambier,
19,Temae,NTTM,-17.490433,-149.76414,Pacific/Tahiti,Moorea,French Polynesia,Oceania,PF,6354944,Moorea-Temae Airport,Moorea-Temae Airport,"Aeroport de Moorea-Temae,Aéroport de Moorea-Temae,MOZ,Moorea Airport,Moorea-Temae Airport,NTTM",01,,-17.488789999999998,-149.76202,0.28970351358371277,Îles du Vent,
20,Mataiva,NTGV,-14.833332999999998,-148.41666999999998,Pacific/Tahiti,Mataiva,French Polynesia,Oceania,PF,7730128,Mataiva Airport,Mataiva Airport,"MVT,NTGV",,,-14.8681,-148.717,32.51038459894093,,
21,Napuka Island,NTGN,-14.166667000000002,-141.58333000000002,Pacific/Tahiti,Napuka Island,French Polynesia,Oceania,PF,7730697,Napuka Airport,Napuka Airport,"NAU,NTGN,Napuka Airport",03,,-14.1768,-141.267,34.122457928982946,Îles Tuamotu-Gambier,
22,Nuku Hiva,NTMD,-8.795214,-140.22223,Pacific/Marquesas,Nuku Hiva,French Polynesia,Oceania,PF,7730130,Nuku Hiva Airport,Nuku Hiva Airport,"Aeroport de Nuku Hiva,Aéroport de Nuku Hiva,NHV,NTMD,Nuku Hiva Airport",04,,-8.7956,-140.22899999999998,0.7451754951184187,Îles Marquises,
23,Niau,NTKN,-16.121988,-146.37325,Pacific/Tahiti,Niau,French Polynesia,Oceania,PF,8298709,Niau Airport,Niau Airport,"Aeroport de Niau,Aéroport de Niau,NIU,NTKN,Niau Airport",03,,-16.11906,-146.36802,0.6466290623083303,Îles Tuamotu-Gambier,
