airport_key,airport,airport_icao,latitude,longitude,timezone,city,country,continent
1,Anaa,NTGA,-17.05,-145.41667,Pacific/Tahiti,Anaa,French Polynesia,Oceania
2,Ahe Airport,NTHE,-14.428056,-146.25694,Pacific/Tahiti,Ahe,French Polynesia,Oceania
3,Apataki,NTGD,-15.416667,-146.08333,Pacific/Tahiti,Apataki,French Polynesia,Oceania
4,Atuona,NTMN,-9.769324,-139.00978,Pacific/Marquesas,Atuona,French Polynesia,Oceania
5,Arutua,NTGU,-15.25,-146.75,Pacific/Tahiti,Arutua,French Polynesia,Oceania
6,Motu Mute,NTTB,-16.446207,-151.75447,Pacific/Tahiti,Bora Bora,French Polynesia,Oceania
7,Faaite,NTKF,-16.683332,-145.33333,Pacific/Tahiti,Faaite,French Polynesia,Oceania
8,Fakarava,NTGF,-16.053486,-145.65225,Pacific/Tahiti,Fakarava,French Polynesia,Oceania
9,Fangatau,NTGB,-16.05,-141.83333,Pacific/Tahiti,Fangatau,French Polynesia,Oceania
10,Fakahina,NTKH,-15.99095,-140.16446,Pacific/Tahiti,Fakahina,French Polynesia,Oceania
11,Gambier Island,NTGJ,-23.084,-134.88757,Pacific/Gambier,Gambier Island,French Polynesia,Oceania
12,Hikueru,NTGH,-17.533333,-142.53334,Pacific/Tahiti,Hikueru,French Polynesia,Oceania
13,Hao Island,NTTO,-18.06248,-140.96529,Pacific/Tahiti,Hao Island,French Polynesia,Oceania
14,Huahine,NTTH,-16.689682,-151.02826,Pacific/Tahiti,Huahine,French Polynesia,Oceania
15,Kauehi,NTKA,-15.766667,-145.11667,Pacific/Tahiti,Kauehi,French Polynesia,Oceania
16,Kaukura Atoll,NTGK,-15.783333,-146.66667,Pacific/Tahiti,Kaukura Atoll,French Polynesia,Oceania
17,Maupiti,NTTP,-16.427385,-152.24236,Pacific/Tahiti,Maupiti,French Polynesia,Oceania
18,Makemo,NTGM,-16.587921,-143.65436,Pacific/Tahiti,Makemo,French Polynesia,Oceania
19,Temae,NTTM,-17.490433,-149.76414,Pacific/Tahiti,Moorea,French Polynesia,Oceania
20,Mataiva,NTGV,-14.833333,-148.41667,Pacific/Tahiti,Mataiva,French Polynesia,Oceania
21,Napuka Island,NTGN,-14.166667,-141.58333,Pacific/Tahiti,Napuka Island,French Polynesia,Oceania
22,Nuku Hiva,NTMD,-8.795214,-140.22223,Pacific/Marquesas,Nuku Hiva,French Polynesia,Oceania
23,Niau,NTKN,-16.121988,-146.37325,Pacific/Tahiti,Niau,French Polynesia,Oceania
24,Nukutavake,NTGW,-19.183332,-138.7,Pacific/Tahiti,Nukutavake,French Polynesia,Oceania
25,Puka Puka,NTGP,-14.75,-138.96666,Pacific/Tahiti,Puka Puka,French Polynesia,Oceania
26,Faa'a,NTAA,-17.55963,-149.60938,Pacific/Tahiti,Papeete,French Polynesia,Oceania
27,Pukarua,NTGQ,-18.296125,-137.01784,Pacific/Tahiti,Pukarua,French Polynesia,Oceania
28,Reao,NTGE,-18.5,-136.4,Pacific/Tahiti,Reao,French Polynesia,Oceania
29,Raiatea,NTTR,-16.725004,-151.46666,Pacific/Tahiti,Raiatea,French Polynesia,Oceania
30,Rangiroa,NTTG,-14.956334,-147.65915,Pacific/Tahiti,Rangiroa,French Polynesia,Oceania
31,Aratika-Nord,NTKK,-15.485299,-145.46887,Pacific/Tahiti,Aratika,French Polynesia,Oceania
32,Rimatara,NTAM,-22.638783,-152.80516,Pacific/Tahiti,Rimatara,French Polynesia,Oceania
33,Raroia,NTKO,-16.044859,-142.47556,Pacific/Tahiti,Raroia,French Polynesia,Oceania
34,Rurutu,NTAR,-22.433332,-151.33333,Pacific/Tahiti,Rurutu,French Polynesia,Oceania
35,Raivavae,NTAV,-25.883333,-147.65,Pacific/Tahiti,Rairua,French Polynesia,Oceania
36,Tikehau Atoll,NTGC,-15.118639,-148.2338,Pacific/Tahiti,Tikehau Atoll,French Polynesia,Oceania
37,Takume,NTKM,-15.850556,-142.26694,Pacific/Tahiti,Takume,French Polynesia,Oceania
38,Takapoto,NTGT,-15.45,-145.14166,Pacific/Tahiti,Takapoto,French Polynesia,Oceania
39,Tatakoto,NTGO,-17.283333,-138.33333,Pacific/Tahiti,Tatakoto,French Polynesia,Oceania
40,Takaroa,NTKR,-14.457749,-145.0264,Pacific/Tahiti,Takaroa,French Polynesia,Oceania
41,Tetiaroa Island,NTTE,-17.083332,-149.5,Pacific/Tahiti,Tetiaroa Island,French Polynesia,Oceania
42,Tubuai,NTAT,-23.35,-149.46666,Pacific/Tahiti,Tubuai,French Polynesia,Oceania
43,Ua Huka,NTMU,-8.933333,-139.55,Pacific/Marquesas,Ua Huka,French Polynesia,Oceania
44,Ua Pou,NTMP,-9.343477,-140.08125,Pacific/Marquesas,Ua Pou,French Polynesia,Oceania
45,Vahitahi,NTUV,-18.583332,-138.83333,Pacific/Tahiti,Vahitahi,French Polynesia,Oceania
46,Manihi,NTGI,-14.43795,-146.07051,Pacific/Tahiti,Manihi,French Polynesia,Oceania
47,Tureira,NTGY,-20.816668,-138.5,Pacific/Tahiti,Tureira,French Polynesia,Oceania
48,Arrabury,YARY,-26.7,141.04167,Australia/Brisbane,Arrabury,Australia,Oceania
49,Alpha,YAPH,-23.65,146.63333,Australia/Brisbane,Alpha,Australia,Oceania
50,Bamaga Injinoo,YBAM,-10.942619,142.45033,Australia/Brisbane,Bamaga,Australia,Oceania
51,Albury,YMAY,-36.069626,146.95453,Australia/Sydney,Albury,Australia,Oceania
